Timestamp,TA-ID,"The bugs which you had to analyze and fix, approximately what percent of them were: [Trivial]","The bugs which you had to analyze and fix, approximately what percent of them were: [Easy]","The bugs which you had to analyze and fix, approximately what percent of them were: [of Medium Difficulty]","The bugs which you had to analyze and fix, approximately what percent of them were: [Difficult]","In short, the most common reason for these bug was","It would be easy to design a tool which automatically fixes K% of the bugs. In your view, what is the value of K (Approx):",AVERAGE time you spent on diagnosing the bugs,MAXIMUM time you spent on diagnosing a bug,AVERAGE  time you spent on FIXING the bugs,MAXIMUM time you spent on FIXING a bug,What would have helped you spend lesser time on the above activities (Diagnosis/Fix)?,How do you ensure that the bug has been completely fixed?,"In the bug ""explanation"" provided by you in comments box, how confident are you about its correctness? ","In the bug ""fix"" provided by you in comments box, how confident are you about its correctness?  ","Can the root cause of errors be diagnosed with a ""push-button"" tool (for majority of errors)? ","Can the errors be FIXED with a ""push-button"" tool (majority of errors)? ","What, in your opinion, would help the student in fixing these bugs on his/her own? (Apart from compiler messages and test case outputs)",How accurate was the repair produced by the tool?  [The repairs were completely wrong],"How accurate was the repair produced by the tool?  [The tool identified the buggy region, but the exact bug could not be identified/fixed]","How accurate was the repair produced by the tool?  [The tool identified the buggy expression, but the fixed suggested was wrong]",How accurate was the repair produced by the tool?  [The tool suggested the perfect repair],"If the repair produced by the auto tool was not very accurate (Options 1, 2, or 3 above), how helpful was the repair in guiding you to the fix?","How much did you trust the tool's fault localization? (""location"" of the bug reported by the tool)",What type of changes you had to perform on top of the suggested fix provided by tool? ,Select the categories of the programming constructs for which the fix was generated by the tool,Did you try to manually repair the submission to arrive at the grade?,"Did you have a formula to compute the grade that you could use,  if the manual repair could fix the submission?",Did the repair help in computing the grade? ,Did you have a formula to compute the grade where the repair generated by tool could fit in?,"If you did not use the repair tool output for deciding grade, do you feel that the grading will be unfair if you took the repair tool output into consideration ? Answer: Yes/No/Not Applicable. Try to give example program snippet to substantiate your concerns."
2/10/2017 16:49:42,15,51-75%,26-50%,<25%,<25%,"Formula errors, trailing semicolons",1,1 minute,5 minutes,1 minute ,2 minutes,Diagnosis,"Test Cases, Corner Cases ",1,4,FALSE,FALSE,"Syntax error flags, flags at places where most people have gone wrong in the past (which might or might not be a true error)",<=25% of the time,<=50% of the time,<=25% of the time,Never,2,2,"Fix constant values, Fix operators, Fix condition for ""if"" or loops (""while"", ""do-while"")","Missing Char, Loops, String modifications",Yes,No,No,No,"Yes, I think it would be great to use the repair tool if it worked more accurately."
2/10/2017 16:40:47,23,<25%,26-50%,<25%,<25%,"Incorrect loop conditions, incorrect if conditions, common errors (missing & in scanf), overflow etc. (The code structure seemed correct though. For example, correct number of loops and their nested structure)",2,1 minute,4 minutes,1 minute,2 minutes,"Bug Localization, and a small fix that I could work with.",Simple problems have a simple specification. I informally try to prove that it doesn't violate this spec.,5,5,TRUE,FALSE,"Directed test-cases, along with a program trace would help them localize the faults.",<=75% of the time,<=50% of the time,<=25% of the time,<=25% of the time,2,2,"Fix condition for ""if"" or loops (""while"", ""do-while"")","Loops, Conditionals (if-then-else)",Yes,Yes,No,No,"No. The tool is able to fix silly errors such as off-by-one errors in the loop conditions and replace < by <= and vice-versa. This correlates with the severity of the bug as well. Although I didn't use the tool's suggestion to grade the output, I found that the submissions where the tool was able to find the repair, marks awarded were generally higher as the bug as less severe."
2/10/2017 16:49:18,26,26-50%,26-50%,<25%,<25%,syntax errors,2,1 Minutes,3 minutes,1 minute,3 minutes,catching things like ; after for loops or wrong scanfs,test cases,4,5,TRUE,TRUE,Practice,<=75% of the time,<=50% of the time,<=50% of the time,<=25% of the time,2,2,"Fix constant values, Fix operators, Fix condition for ""if"" or loops (""while"", ""do-while""), insert/delete extra characters (For example:  ; & brackets)",String modifications,Yes,Yes,No,No,"No. I think if the tool could fix it, it was probably a trivial bug."
2/10/2017 16:56:33,3,51-75%,26-50%,<25%,<25%,a very small error either in syntax or in corner cases,7,1 minute,2 minutes,30 seconds,1 minute,locating the bug,by evaluating the changes suggested,5,5,TRUE,TRUE,suggestions from the tool.,<=75% of the time,Always,<=75% of the time,<=25% of the time,4,4,"Fix condition for ""if"" or loops (""while"", ""do-while""), formatting fixes for the output (spaces, tabs, newline, %conversion for printf etc.)","Missing Char, Loops, Conditionals (if-then-else)",Yes,No,No,No,Yes. The repair tool is not good in the current status
2/10/2017 16:26:51,16,<25%,26-50%,26-50%,<25%,Syntax errors.,1,3 minutes,10 minutes,1 minute,3 minutes,Diagnose,Evaluated the code.,1,1,TRUE,FALSE,Don't know.,Always,Never,Never,Never,1,2,"Fix condition for ""if"" or loops (""while"", ""do-while""), formatting fixes for the output (spaces, tabs, newline, %conversion for printf etc.)",Conditionals (if-then-else),Yes,No,No,Yes,Yes
2/10/2017 16:50:00,35,51-75%,<25%,<25%,<25%,margin cases not handled,4,45 seconds,3 minute,20 seconds,1 minute,automatic checking of the bug in other programs,by evaluating it,4,4,FALSE,TRUE,reading question properly and checking margin cases,<=50% of the time,<=75% of the time,<=25% of the time,<=25% of the time,2,2,"Fix constant values, Fix operators, Fix condition for ""if"" or loops (""while"", ""do-while"")","Missing Char, Conditionals (if-then-else), Missing values in output (other than whitespaces)",Yes,No,No,No,Kind of
2/10/2017 16:11:26,5,51-75%,26-50%,<25%,<25%,"wrong initialization, wrong conditions",4,1 minutes,3 minutes,1 minute,1 minute,good suggestions for the bug,by evaluating,4,5,FALSE,FALSE,suggestion in the lines,<=25% of the time,<=25% of the time,Never,<=25% of the time,2,2,"Fix constant values, Fix operators, Fix condition for ""if"" or loops (""while"", ""do-while"")","Library Functions, Missing Char, Conditionals (if-then-else), Missing whitespaces in output (space, tab, newline)",Yes,Yes,Yes,No,No
2/10/2017 16:43:08,22,<25%,26-50%,26-50%,<25%,"syntax errors, using wrong variables etc",7,20 sec,5 mins,10 sec,20 sec,"Diagnosis suggestions, to help localize source of the error",run my own code after fixing in the editor and evaluate,2,5,TRUE,FALSE,suggestions on common source of errors,<=75% of the time,<=75% of the time,<=25% of the time,<=25% of the time,2,2,"tool tries to micromanage fixes, doesn't give a conceptual fix. So, couldn't rely on such fixes.","Conditionals (if-then-else), Missing values in output (other than whitespaces)",Yes,No,Yes,No,"if the repair tool outputs a small/minor change, I may want to give more marks ."
2/10/2017 16:20:21,28,26-50%,76-100%,51-75%,<25%,logical confusion; syntax errors,1,.5 minute,1.5 minute,.7 minute,1 minute,diagnosis,check output,1,1,FALSE,FALSE,"identify common syntax errors, faqs",Always,Never,Never,<=25% of the time,1,1,"Fix operators, Fix condition for ""if"" or loops (""while"", ""do-while""), insert/delete extra characters (For example:  ; & brackets)","Loops, Conditionals (if-then-else), Missing whitespaces in output (space, tab, newline)",Yes,Yes,No,No,No.. Repair tool was hardly of any use. One of the suggestions was a condition: if(1!=0)
2/10/2017 17:06:39,14,51-75%,26-50%,<25%,<25%,less knowledge of langauge syntax,1,20,50,10,30,diagnosis,evaluating ,4,5,TRUE,FALSE,learning language,<=25% of the time,<=25% of the time,<=25% of the time,<=25% of the time,1,3,"Fix operators, Fix condition for ""if"" or loops (""while"", ""do-while"")","Loops, Conditionals (if-then-else)",Yes,Yes,No,No,yes
