Timestamp,TA-ID,How much experience do you have in programming (excluding experience of programming in Bachelors' classes)?,How would you rate your level of skill in C programming,"For a typical buggy submission, give the % of total time you spent during evaluation task for the following [Bug reproduction/understanding]","For a typical buggy submission, give the % of total time you spent during evaluation task for the following [Bug diagnosis/ localization]","For a typical buggy submission, give the % of total time you spent during evaluation task for the following [Bug fixing]",What is your approach to Bug diagnosis and fixing?,"What properties should an auto generated bug diagnosis have? (A ""diagnosis"" tells you about the error, NOT how to fix it)",What properties should an auto generated bug- fix have? (bug-fix: The actual steps to repair a diagnosed error),What features should an automated bug diagnosis tool have?,What features should an automated bug-fixing tool have?,"If you  are asked  to design  a ""practical""  automated  tutor/TA to help students identify/repair their  bugs,  what kind of suggestions would it provide? ","Students make the following three kinds of errors: syntactic errors, semantic errors, and goal errors. Which errors do you find difficult to identify and wish to get help from a tool while grading?  "
02/10/17 9:31,1,> 1 year but <= 2 years,3,<= 25 %,<=50 %,<= 25 %,"Systematically going line by line, start to end",it should identify all of the bugs that are present in the code.,without altering the logic too much it should be able to diagnose it,easy to operate with,able to fix all the hidden bugs.,it should convey clear meaning. terminology should be easy. ,"Semantic Error, Goal Errors"
02/10/17 13:46,2,> 1 year but <= 2 years,4,<= 25 %,<=50 %,<= 25 %,Heuristically analysing blocks of code,suggestions for the auto correct,sorted in best order,bug localzation,bug suggestion reporting,control comparison to that of the actual program ,Semantic Error
02/10/17 14:03,3,> 1 year but <= 2 years,3,<=10 %,> 50%,<=10 %,Heuristically analysing blocks of code,Locate the error,Give possible correct alternatives,It should permit user suggestions for the diagnosis,should suggest a large number of correct alternatives,suggestions on avoiding the general misconceptions of the goal. ,"Semantic Error, Goal Errors"
02/06/17 18:14,4,> 1 year but <= 2 years,3,<= 25 %,<= 25 %,<= 25 %,Heuristically analysing blocks of code,Where exactly the bug is,Suggestions for correction,Hint of possible bugs,Suggestions of correction,Suggestion about what are the possible bugs. In debug mode automatically list the value of vriables,Goal Errors
02/10/17 13:38,5,More than 4 years,4,<= 25 %,<=50 %,<=10 %,Heuristically analysing blocks of code,to locate the part of the program where the bug is,that it can correct the bug,It can search the bug effectively and report the lines where the bug may be present,It can fix the bug effectively - to present the lines of the code where the bug is and recommend the replacement lines ,it should be able to correctly point out bugs and not completely fixing the bugs,Semantic Error
02/10/17 13:44,6,<= 6 months,2,<=50 %,<= 25 %,> 50%,Heuristically analysing blocks of code,localisation,simple instructions,simplicity,responsive,pointing out the areas of incorrect/inefficient code,Semantic Error
2/16/2017 22:21:51,7,> 1 year but <= 2 years,5,<=10 %,> 50%,<= 25 %,"Systematically going line by line, start to end",It should tell all the errors..Even the silliest one.,It should tell all the relevant steps,"It should tell all the errors, correct them if possible, if not should tell all the relevant steps",It should correct all the errors.,"It should tell all the syntax errors, should be able to point the silly logical errors(for eg infinite loop), it is not necessary that it should be good in correcting all types of logical errors.",Semantic Error
02/09/17 21:35,8,> 1 year but <= 2 years,3,<= 25 %,<= 25 %,<=50 %,Heuristically analysing blocks of code,Exact statement and variable causing the problem,Full stack trace,It should put checkpoints to check the state where the program is creating problem,Re-run the program from the last failure point,It should tell what type of error student is doing and also tell the possible reason for that,Semantic Error
02/10/17 13:33,9,> 2 years but <= 4 years,4,<= 25 %,<=50 %,<=10 %,Heuristically analysing blocks of code,It should tell us about all syntax related errors.,Suggestions which can repairs the errors . ,Should identify most common errors . , Should fix the error in simplest way . ,It should identify most common errors . ,"Syntax Error, Goal Errors"
02/10/17 15:32,10,> 2 years but <= 4 years,4,> 50%,<=50 %,> 50%,Trial and Error,It should provide the proper location and description on bug,It should work for atleast syntax error.,It should be able to correctly identify the bug especially if the logical error is causing the crashing of program.,"Fixing syntax error, auto indentation ,spell check.",To repair syntax error and problem associated with indention.Auto indentation and spell check should be provided.,"Syntax Error, Semantic Error"
02/10/17 13:41,11,<= 6 months,3,<=50 %,<= 25 %,<=10 %,Heuristically analysing blocks of code,"Find the location of error. Eg if there is an infinite loop, specify where it is occuring",Should automatically suggest and repair all syntactic errors,Diagnose  the location and type of error,Fix all syntactic error,"Highlight all syntactic error, infinite loops",Semantic Error
